#;NAME;P0;P1
372;B1236-68;1.301908;1.19e-14
373;B1237-41;0.512242;1.74e-15
374;J1243-5735;0.471225;8.00e-17
375;B1240-64;0.388481;4.50e-15
376;J1244-5053;0.275207;1.00e-15
377;J1244-6531;1.546819;7.18e-15
378;J1245-6238;2.283093;1.09e-14
379;J1248-6344;0.198335;1.69e-14
380;J1248-6444;1.234893;1.93e-15
381;J1249-6507;0.434445;1.21e-17
382;J1251-7407;0.327058;3.65e-16
383;J1252-6314;0.823339;1.08e-16
384;J1253-5820;0.255496;2.10e-15
385;J1254-6150;0.184502;6.24e-16
386;J1255-6131;0.657974;4.00e-15
387;B1254-10;0.617308;3.63e-16
388;B1256-67;0.663329;1.21e-15
389;J1301-6305;0.184528;2.67e-13
390;J1301-6310;0.663830;5.64e-14
391;J1302-6313;0.967846;6.33e-15
392;B1259-63;0.047763;2.28e-15
393;J1303-6305;2.306642;2.18e-15
394;J1305-6203;0.427762;3.21e-14
395;J1305-6256;0.478231;2.11e-15
396;B1302-64;0.571647;4.03e-15
397;J1306-6242;0.981902;5.86e-15
398;B1303-66;0.473026;5.97e-15
399;J1307-6318;4.962427;2.11e-14
400;J1308+2127;10.312522;1.12e-13
401;J1308-4650;1.058833;5.26e-16
402;J1308-5844;0.464700;8.64e-15
403;J1309-6415;0.619454;8.79e-15
404;J1309-6526;0.398292;1.84e-17
405;B1309-12;0.447518;1.51e-16
406;B1309-53;0.728154;1.48e-16
407;B1309-55;0.849236;5.71e-15
408;J1312-6400;2.437432;6.83e-16
409;J1313+0931;0.848933;8.00e-16
410;J1314-6101;2.948390;1.17e-14
411;J1316-6232;0.342825;5.30e-15
412;J1317-5759;2.642199;1.26e-14
413;J1317-6302;0.261271;1.02e-16
414;B1316-60;0.284351;1.53e-15
415;J1319-6105;0.421118;1.50e-15
416;B1317-53;0.279729;9.25e-15
417;J1321-5922;1.279058;2.37e-15
418;B1322+83;0.670037;5.66e-16
419;J1322-6241;0.506058;2.59e-15
420;J1322-6329;2.764209;1.11e-14
421;J1324-6146;0.844109;5.58e-15
422;J1324-6302;2.483804;9.79e-16
423;B1323-58;0.477991;3.24e-15
424;B1323-63;0.792670;3.10e-15
425;B1322-66;0.543009;5.31e-15
426;B1323-62;0.529913;1.89e-14
427;B1323-627;0.196479;1.53e-15
428;J1327-6400;0.280678;3.12e-14
429;B1325-43;0.532699;3.01e-15
430;B1325-49;1.478721;6.10e-16
431;J1329-6158;1.565218;3.39e-14
432;J1331-5245;0.648117;5.10e-16
